id,word,meaning,set_no,checkpoint_no
1966,skip,v. 깡충깡충 뛰다 뛰어넘다 / n. 깡충깡충 뛰기,20,20
1967,slave,n. 노예 / a. 노예의,20,20
1968,slice,n. 조각 / v. 썰다. 얇게 자르다,20,20
1969,slide,v. 미끄러지다 / n. 미끄러짐,20,20
1970,slight,a. 약간의 / n. 무시 / v. 무시하다,20,20
1971,slim,a. 날씬한 / v. 살을 빼다,20,20
1972,slip,"v. 미끄러지다, 놓아주다 / n. 실수",20,20
1973,slope,n. 비탈 / v. 경사지다 / a. 경사진,20,20
1974,smart,"a. 맵시 좋은, 영리한 / v. 욱신거리다 / n. 욱신거림",20,20
1975,smash,"v. 박살내다, 부딪치다 / n. 박살내기",20,20
1976,smoke,"n. 연기 / v. 피우다, 흡연을 하다",20,20
1977,smooth,a. 매끈한 / ad. 평탄하게 / v. 매끈하게 하다,20,20
1978,snack,n. 간단한 식사 / v. 식사를 간단히 하다,20,20
1979,snake,n. 뱀 / v. 꿈틀거리다,20,20
1980,snap,v. 딱 하고 부러뜨리다 / n. 찰칵 하는 소리 / a. 성급한,20,20
1981,sneak,v. 살금살금 가다 / n. 몰래 하기,20,20
1982,soak,"v. (액체 속에) 잠그다, 잠기다 / n. (액체 속에) 잠그기",20,20
1983,soap,n. 비누 / v. 비누칠을 하다,20,20
1984,social,a. 사회의 / n. 사교 파티,20,20
1985,society,"n. 사회, 집단",20,20
1986,sociology,n. 사회학,20,20
1987,soil,"n. 토양, 더럽히기 / v. 더럽히다, 얼룩지다",20,20
1988,soldier,n. 군인 / v. 군인이 되다,20,20
1989,sole,"a. 유일한, 단 하나의 / n. 발바닥",20,20
1990,solid,a. 단단한 / n. 고체 / ad. 일치하여,20,20
1991,solve,"v. 해결[타결]하다, 풀다",20,20
1992,somewhat,ad. 어느 정도 / n. 조금,20,20
1993,soon,"ad. 곧, 머지않아",20,20
1994,sophisticate,v. 궤변을 부리다 / n. 안식이 높은 사람,20,20
1995,sore,a. 아픈 / n. 상처 / ad. 몹시,20,20
1996,sort,"n. 종류 / v. 분류하다, 조화되다",20,20
1997,soul,"n. 영혼, 혼",20,20
1998,sour,a. 신 / n. 신맛,20,20
1999,source,n. 원천 / v. 구입하다,20,20
2000,span,n. 기간 / v. (얼마의 기간에) 걸치다,20,20
2001,spare,"a. 남는 / n. 여분 / v. 할애하다, 절약하다",21,21
2002,spark,"n. 불꽃 / v. (불꽃을) 튀기다, 불꽃이 튀다",21,21
2003,special,a. 특수한 / n. 특별한 것,21,21
2004,species,n. 종(種: 생물 분류의 기초 단위),21,21
2005,specific,a. 구체적인 / n. 특성,21,21
2006,spectacle,"n. 장관, 광경",21,21
2007,spectrum,"n. 스펙트럼, 빛띠",21,21
2008,speech,"n. 연설, 담화",21,21
2009,spell,v. 철자를 말하다[쓰다] / n. 주문,21,21
2010,spend,"v. 쓰다, 낭비하다 / n. 비용",21,21
2011,sphere,n. 구(球),21,21
2012,spill,"v. 흐르다, 흘리다 / n. 흘림",21,21
2013,spin,"v. 돌다, 회전시키다 / n. 회전",21,21
2014,spirit,n. 정신 / v. 기운을 북돋우다,21,21
2015,spit,"v. 뱉다, 침을 뱉다 / n. 침",21,21
2016,splash,v. 튀다. 끼얹다 / n. (물 등을) 튀김,21,21
2017,split,"v. 나누다, 나뉘다 / n. 분할 / a. 분할된",21,21
2018,spoil,"v. 망치다, 상하다 / n. 약탈품",21,21
2019,sponsor,n. 광고주 / v. 광고주[스폰서]가 되다,21,21
2020,spot,n. 점 / v. 점을 찍다. 더럽혀지다 / a. 즉석의,21,21
2021,spouse,n. 배우자 / v. 결혼하다,21,21
2022,spray,"n. 물보라, 잔가지 / v. 물보라를 일으키다",21,21
2023,spread,"v. 펼치다, 펼쳐지다 / n. 확산",21,21
2024,spy,"n. 스파이 / v. 스파이 활동[노릇]을 하다, 알아채다",21,21
2025,square,a. 정사각형 모양의 / n. 정사각형,21,21
2026,squeeze,v. (손가락으로 꼭) 짜다 압착되다 / n. (꼭) 짜기,21,21
2027,stable,"a. 안정된 / n. 안정성, 마구간",21,21
2028,stack,"n. 더미 / v. 쌓다, 쌓이다",21,21
2029,stage,n. 단계 / a. 무대의,21,21
2030,stain,"v. 얼룩지게 하다, 더러워지다 / n. 얼룩",21,21
2031,stairs,n. 계단,21,21
2032,stamp,"n. 우표 / v. 구르다, 쿵쾅거리며 걷다",21,21
2033,standard,"n. 표준, 기준 / a. 일반적인",21,21
2034,stare,"v. 빤히 쳐다보다, 응시하다 / n. 응시",21,21
2035,starve,"v. 굶주리다, 굶기다",21,21
2036,state,n. 상태 / a. 국가의 / v. 말하다,21,21
2037,station,n. 역 / v. 배치하다,21,21
2038,statistic,n. 통계 / a. 통계의,21,21
2039,statue,"n. 조각상, 조상(彫像)",21,21
2040,status,"n. 신분, 자격",21,21
2041,steady,a. 꾸준한 / v. 균형을 잡다 / ad. 흔들림 없이,21,21
2042,steal,"v. 훔치다, 도둑질하다 / n. 훔치기",21,21
2043,steam,n. 김 / v. 김[증기]을 내뿜다 찌다,21,21
2044,steel,n. 강철 / v. 강철을 입히다,21,21
2045,steep,a. 가파른 / n. 가파른 곳,21,21
2046,stem,"n. 줄기 / v. 줄기를 떼어내다, 일어나다, (흐름을 막다)",21,21
2047,step,n. 걸음 / v. 걷다. 디디다,21,21
2048,stick,"n. 나뭇가지, 찌르기 / v. 막대기로 받치다, 찌르다",21,21
2049,stiff,a. 뻣뻣한 / ad. 몹시 / n. 시체 / v. 속이다,21,21
2050,still,ad. 아직도 / a. 가만히 있는 / n. 고요 / v. 고요[잠잠]하게 하다,21,21
2051,stimulate,"v. 자극하다, 격려가 되다",21,21
2052,stir,"v. 젓다, 약간 움직이다[흔들리다] / n. 동요",21,21
2053,stitch,n. (바느질에서) 땀 / v. 바느질하다,21,21
2054,stock,n. 재고품 / v. (가게에 상품을 갖춰 두고) 있다 / a. 재고가 있는,21,21
2055,stomach,n. 위 / v. 즐기다,21,21
2056,storm,"n. 폭풍 / v. 기습하다, 급습하다",21,21
2057,stove,n. 스토브 / v. 스토브로 데우다,21,21
2058,straight,ad. 똑바로 / a. 곧은 / n. 똑바름,21,21
2059,strain,"n. 부담, 종족, 혈통 / v. 혹사하다, 안간힘을 쓰다",21,21
2060,strange,a. 이상한 / ad. 이상하게,21,21
2061,strategy,"n. 계획, 전략",21,21
2062,stream,"n. 개울 / v. 흐르다, 흘리다",21,21
2063,stress,"n. 스트레스 / v. 강조하다, 스트레스를 받다",21,21
2064,stretch,v. 늘이다. 늘어나다 / n. 뻗은 지역,21,21
2065,strict,"a. 엄한, 엄격한",21,21
2066,strike,"v. 치다, 두드리다 / n. 파업",21,21
2067,string,"n. 끈 / v. 묶다, 줄지어 늘어서다 / a. 줄로 된",21,21
2068,strip,v. 벗기다. 옷을 벗다 / n. 가느다란 조각,21,21
2069,stripe,n. 줄무늬 / v. 줄무늬를 넣다,21,21
2070,stroke,"n. 치기, 쓰다듬기 / v. 선[획]을 긋다. 어루만지다",21,21
2071,structure,n. 구조 / v. 조직하다,21,21
2072,struggle,v. 투쟁하다 / n. 투쟁,21,21
2073,studio,"n. 스튜디오, 영화 촬영소",21,21
2074,stuff,"n. 것[것들] / v. 채워 넣다, 잔뜩 먹다",21,21
2075,subject,n. 주제 / a. ~될 수 있는 / v. 지배하에 두다,21,21
2076,subjective,"a. 주관적인, 마음속에 존재하는",21,21
2077,submarine,n. 잠수함 / a. 바다 속의,21,21
2078,submission,"n. 항복, 굴복",21,21
2079,submit,"v. 제출하다, 항복하다",21,21
2080,subscribe,"v. 구독하다, 기부하다",21,21
2081,substance,"n. 물질, 실체",21,21
2082,substantial,a. 상당한 / n. 실체[실질]적인 것,21,21
2083,substitute,n. 대리인 / a. 대리의 / v. 교체하다. 대신하다,21,21
2084,subtle,"a. 미묘한, 감지하기 힘든",21,21
2085,suburb,"n. 교외, 시외",21,21
2086,succeed,"v. 성공하다, 뒤를 잇다",21,21
2087,success,"n. 성공, 성과",21,21
2088,such,a. 그런 / pron. 그런 사람[것](https://www.google.com/search?q=%EB%93%A4),21,21
2089,suck,"v. 빨다, 빨아 먹다 / n. 빨기",21,21
2090,sudden,a. 갑작스러운 / ad. 갑자기 / n. 돌연,21,21
2091,suffer,"v. 시달리다, 겪다",21,21
2092,suffice,v. (~에) 충분하다,21,21
2093,sufficient,a. 충분한 / n. 충분(한양),21,21
2094,suggest,"v. 제안하다, 제의하다",21,21
2095,suicide,"n. 자살 / v. 자살하다, 죽이다",21,21
2096,suit,n. 정장 / v. 편리하다,21,21
2097,suite,"n. 스위트룸, (가구) 세트",21,21
2098,sum,"n. 액수, 총합 / v. 합하다, 합[합계]이 ~이 되다",21,21
2099,summary,n. 요약 / a. 간략한,21,21
2100,summit,n. (산의) 정상 / v. 정상 회담에 참석하다,21,21
2101,super,a. 대단한 / ad. 특별히 / n. 건물 관리인,22,22
2102,superb,"a. 최고의, 최상의",22,22
2103,superior,a. 우수한 / n. 상관,22,22
2104,supervise,"v. 감독하다, 지휘하다",22,22
2105,supper,"n. 저녁, 야식",22,22
2106,supplement,n. 보충(물) / v. 보충하다,22,22
2107,supply,n. 공급(량) / v. 공급하다 / a. 보급의,22,22
2108,support,v. 지지하다 / n. 지지,22,22
2109,suppose,"v. 생각하다, 추정하다",22,22
2110,surface,n. 표면 / a. 표면의,22,22
2111,surgery,"n. 외과, 수술",22,22
2112,surprise,n. 뜻밖의 일 / v. 놀라게 하다,22,22
2113,surrender,"v. 항복하다, 포기하다 / n. 항복",22,22
2114,surround,v. 둘러싸다 / n. 가장자리,22,22
2115,survey,"n. 조사 / v. 살피다, 측량하다",22,22
2116,survive,"v. 살아남다, 견뎌 내다",22,22
2117,suspect,v. 의심하다 / n. 혐의자 / a. 의심스러운,22,22
2118,suspend,"v. 매달다, 정지하다",22,22
2119,sustain,"v. 유지하다, 살아가게 하다",22,22
2120,swallow,"v. 삼키다 / n. 삼키기, 제비",22,22
2121,swear,"v. 맹세하다, 욕을 하다 / n. 서약, 선서, 욕설",22,22
2122,sweat,n. 땀 / v. 땀을 흘리다,22,22
2123,sweater,"n. 스웨터, 땀 흘리는 사람[것]",22,22
2124,sweep,v. 쓸다 / n. 쓸기,22,22
2125,sweet,a. 달콤한 / n. 단 것,22,22
2126,swell,"v. 붓다, 붓게 하다 / n. 팽창",22,22
2127,swift,a. 신속한 / ad. 빠르게 / n. 칼새,22,22
2128,swing,"v. 흔들리다, 흔들다 / n. 흔들기",22,22
2129,switch,"n. 스위치 / v. 바꾸다, 바뀌다",22,22
2130,symbol,n. 상징(물) / v. 상징을 이용하다,22,22
2131,sympathy,"n. 동정, 연민",22,22
2132,symphony,"n. 교향곡, 심포니",22,22
2133,symptom,"n. 증상, 증후",22,22
2134,system,"n. 제도, 체제",22,22
2135,tackle,"v. 씨름하다, 태클하다 / n. 태클",22,22
2136,tag,n. 꼬리표 / v. 꼬리표를 붙이다 따라다니다,22,22
2137,tale,"n. 이야기, 소설",22,22
2138,talent,"n. 재주, 재능",22,22
2139,tank,n. 탱크,22,22
2140,tap,"v. 톡톡 두드리다 / n. 두드리기, 수도꼭지",22,22
2141,target,n. 목표 / v. 목표[표적]로 삼다,22,22
2142,task,n. 일 / v. 일을 부과하다,22,22
2143,tax,n. 세금 / v. 세금을 부과하다,22,22
2144,tea,"n. 찻잎, 차 / v. 차를 마시다, 차를 대접하다",22,22
2145,tear,"v. 찢다. 찢어지다 / n. 찢어진 곳, 눈물",22,22
2146,tease,"v. 놀리다, 집적거리다",22,22
2147,technique / technic,"n. 기법, 기술",22,22
2148,technology,"n. 기술, 기계",22,22
2149,teenage,a. 십대의 / n. 10대,22,22
2150,telegraph,"n. 전신 / v. 전보를 치다, 신호하다",22,22
2151,temperature,"n. 온도, 기온",22,22
2152,temple,"n. 신전, 사원, 관자놀이",22,22
2153,temporary,a. 일시적인 / n. 임시 고용인,22,22
2154,tempt,"v. 유혹하다, 부추기다",22,22
2155,tenant,"n. 세입자 / v. 임차해서 살다, 살다",22,22
2156,tend,"v. 경향이 있다, 돌보다, 보살피다",22,22
2157,tender,a. 상냥한 / n. 제출 / v. 제출하다,22,22
2158,tense,a. 긴장한 / v. 긴장시키다,22,22
2159,term,n. 용어 / v. 칭하다,22,22
2160,terminal,n. 공항 터미널 / a. 말기의,22,22
2161,terminate,"v. 끝나다, 끝내다 / a. 유한의",22,22
2162,terrace,n. 테라스 / v. 테라스를 만들다,22,22
2163,terrible,"a. 끔찍한, 소름 끼치는",22,22
2164,terrific,"a. 아주 좋은, 멋진",22,22
2165,territory,"n. 영토, 영지",22,22
2166,terror,"n. 공포, 두려움",22,22
2167,terrorist,"n. 테러리스트, 테러범",22,22
2168,text,n. 본문 / v. 문자를 보내다,22,22
2169,theater/theatre,"n. 공연장, 극장",22,22
2170,theme,n. 주제 / a. 특정한 주제를 가진,22,22
2171,then,"ad. 그때, 그 다음에 / a. 당시의 / n. 그때",22,22
2172,theory,"n. 이론, 학설",22,22
2173,therapy,"n. 치료, 요법",22,22
2174,therefore,"ad. 그러므로, 그러니",22,22
2175,thick,a. 두꺼운 / ad. 두껍게 / n. 가장 굵은[두꺼운] 부분,22,22
2176,thief,"n. 도둑, 절도범",22,22
2177,thin,a. 얇은 / ad. 얇게 / v. 얇게 만들다. 얇아지다,22,22
2178,thorough,"a. 빈틈없는, 철두철미한",22,22
2179,though,conj. (비록) ~이긴 하지만 / ad. 그렇지만,22,22
2180,thousand,n. 1000 / a. 1000의,22,22
2181,thread,"n. 실 / v. 실을 꿰다, 뚫고 나아가다",22,22
2182,threat,"n. 협박, 위협",22,22
2183,thrill,"n. 황홀감, 전율 / v. 열광시키다, 열광하다",22,22
2184,throat,n. 목구멍 / v. ~에 홈을 파다,22,22
2185,through,prep. ~을 통해 / ad. 지나서 / a. 직통의,22,22
2186,throw,v. 던지다 / n. 던지기,22,22
2187,thumb,n. 엄지손가락 / v. 차를 얻어 타다,22,22
2188,thus,"ad. 이렇게 하여, 이와 같이",22,22
2189,tick,v. 째깍거리다 / n. 째깍째깍 하는 소리,22,22
2190,tide,n. 조수 / v. 조수처럼 흐르다. 일어나다,22,22
2191,tidy,a. 깔끔한 / v. 정돈하다 / n. 정리함,22,22
2192,tie,"v. 묶다, 묶이다 / n. 넥타이",22,22
2193,tight,a. 단단한 / ad. 단단히,22,22
2194,till,prep. / conj. ~까지,22,22
2195,timber,n. 수목 / v. 나무를 벌채하다 / a. 목재로 된,22,22
2196,tin,n. 주석 / a. 주석의 / v. 주석을 입히다,22,22
2197,tiny,"a. 아주 작은[적은], 조그마한",22,22
2198,tip,"n. (뾰족한) 끝, 조언, 기울이기 / v. 끝에 달다, 팁을 주다, 기울이다",22,22
2199,tissue,n. 조직 / v. 화장지로 닦아내다,22,22
2200,title,n. 제목 / v. 제목[표제]을 붙이다,22,22
2201,toast,"n. 토스트, 건배 / v. 굽다, 구워지다, 건배하다",23,23
2202,toe,"n. 발가락 / v. 발끝을 대다, 발끝을 움직이다",23,23
2203,toilet,"n. 변기(통), 화장실",23,23
2204,tone,"n. 어조, 음색 / v. 탄력 있게 만들다, 어울리다",23,23
2205,tongue,n. 혀,23,23
2206,tool,"n. 연장, 도구 / v. (차를) 몰다",23,23
2207,topic,"n. 화제, 주제",23,23
2208,torture,n. 고문 / v. 고문하다,23,23
2209,toss,"v. 던지다, 뒤척이다 / n. 동전 던지기",23,23
2210,total,a. 총 / n. 합계 / v. 합계[총] ~이 되다,23,23
2211,tough,a. 힘든,23,23
2212,tour,n. 여행 / v. 여행하다,23,23
2213,toward(s),prep. (어떤 방향) 쪽으로 / a. 임박한,23,23
2214,towel,n. 수건 / v. 수건으로 닦다,23,23
2215,tower,"n. 탑, 끄는 사람[것] / v. 높이 솟다",23,23
2216,toxic,a. 유독한 / n. 유독 화학 약품,23,23
2217,trace,"v. 추적하다, 거슬러 올라가다 / n. 자취",23,23
2218,trade,"n. 거래 / v. 거래하다, 매매하다",23,23
2219,tradition,"n. 전통, 관습",23,23
2220,traffic,n. 교통(량) / v. 매매하다,23,23
2221,tragic,a. 비극적인 / n. 비극적 요소,23,23
2222,trail,"n. 자국 / v. 끌다, 끌리다",23,23
2223,transact,"v. 거래하다, 사무를 보다",23,23
2224,transfer,"v. 옮기다, 갈아타다 / n. 옮김, 이동",23,23
2225,transform,"v. 변형시키다, 변형되다 / n. 변환",23,23
2226,transition,"n. 이행, 전환",23,23
2227,translate,v. 번역하다,23,23
2228,transmit,"v. 보내다, 자손에게 전해지다",23,23
2229,transport,n. 수송 / v. 수송하다,23,23
2230,transportation,"n. 수송, 운송",23,23
2231,trap,"n. 덫 / v. 가두다, 덫을 놓다",23,23
2232,tray,"n. 쟁반, 상자",23,23
2233,treasure,n. 보물 / v. 대단히 귀하게 여기다,23,23
2234,treat,"v. 대하다, 다루다 / n. 대접",23,23
2235,treaty,"n. 조약, 협정",23,23
2236,tremendous,a. 엄청난 / ad. 굉장히,23,23
2237,trend,n. 동향 / v. 향해 있다,23,23
2238,triangle,"n. 삼각형, 트라이앵글",23,23
2239,tribe,"n. 부족, 종족",23,23
2240,trick,n. 속임수 / v. 속이다 / a. 교묘한,23,23
2241,trigger,"n. 방아쇠 / v. 촉발시키다, 방아쇠를 당기다",23,23
2242,trim,v. 다듬다 / n. 다듬기 / a. 잘 가꾼,23,23
2243,triumph,"n. 승리 / v. 승리를 거두다, 정복하다",23,23
2244,troop,"n. 병력 / v. 무리[떼]를 지어 가다, 수송하다",23,23
2245,trouble,"n. 문제 / v. 괴롭히다, 걱정하다",23,23
2246,trunk,n. 몸통 / a. 주요한,23,23
2247,trust,"n. 신뢰 / v. 신뢰하다, 신임하다",23,23
2248,truth,"n. 사실, 진상",23,23
2249,tube,n. 관 / v. 관을 달다,23,23
2250,tune,n. 곡 / v. 악기를 조율하다,23,23
2251,tunnel,n. 터널 / v. 터널[굴]을 뚫다,23,23
2252,turnover,"n. 거래액, 전환, 전복 / a. 접어서 젖힌",23,23
2253,twin,n. 쌍둥이 / v. 자매 관계를 맺다 / a. 쌍둥이의,23,23
2254,twist,"v. 휘다, 비틀리다 / n. 비틀기",23,23
2255,ultimate,a. 궁극적인 / n. 극치,23,23
2256,unaware,"a. 알지 못하는, 모르는",23,23
2257,undergo,"v. 겪다, 경험하다",23,23
2258,underlie,v. ~의 밑에[아래에] 있다. 기저를 이루다,23,23
2259,undermine,"v. ~의 밑을 파다, 기반을 약화시키다",23,23
2260,undertake,"v. 착수하다, 증인이 되다",23,23
2261,uniform,n. 제복 / a. 획일적인,23,23
2262,unify,"v. 통합하다, 통일하다",23,23
2263,union,"n. 노동 조합, 조합",23,23
2264,unique,a. 유일무이한 / n. 유일한[독특한] 사람[것],23,23
2265,unit,"n. 구성 단위, 한개",23,23
2266,unite,"v. 통합시키다, 연합하다",23,23
2267,universe,"n. 우주, 은하계",23,23
2268,university,"n. 대학, 전(全) 대학생",23,23
2269,unless,"conj. ~하지 않는 한, ~이 아닌 한",23,23
2270,unprecedented,"a. 전례가 없는, 미증유의",23,23
2271,until,prep. ~(때)까지,23,23
2272,update,v. 갱신하다 / n. 갱신,23,23
2273,upper,a. 더 위에 있는 / n. 윗부분,23,23
2274,upset,v. 속상하게 만들다 / a. 속상한,23,23
2275,upward(s),a. 위쪽을 향한 / ad. 위쪽을 향해서,23,23
2276,urban,"a. 도시의, 도회지의",23,23
2277,urge,"v. 강력히 권고하다, 주장하다 / n. 욕구",23,23
2278,urgent,"a. 긴급한, 시급한",23,23
2279,utilize / utilise,"v. 활용하다, 이용하다",23,23
2280,utter,"a. 완전한, 순전한 / v. 말하다",23,23
2281,vacate,"v. 비우다, 사직하다",23,23
2282,vacation,n. 방학 / v. 휴가를 보내다,23,23
2283,vaccine,n. 백신,23,23
2284,vacuum,n. 진공 / a. 진공의 / v. 진공청소기로 청소하다,23,23
2285,vague,"a. 모호한, 애매한",23,23
2286,valid,"a. 유효한, 정당한",23,23
2287,valley,"n. 계곡, 골짜기",23,23
2288,value,n. 가치 / v. 소중하게 생각하다,23,23
2289,van,"n. 밴, 선두, 전위",23,23
2290,vanish,"v. 사라지다, 숨기다 / n. 소음(消音)",23,23
2291,various,"a. 여러 가지의, 각양각색의",23,23
2292,vary,v. 서로 다르다 다르게 하다,23,23
2293,vast,a. 방대한 / n. 광대함,23,23
2294,vehicle,"n. 차량, 탈것",23,23
2295,venture,n. 벤처 / v. 감행하다,23,23
2296,verb,n. 동사,23,23
2297,verbal,a. 언어의 / n. 동사류,23,23
2298,verse,"n. 운문 / v. 시로 표현하다, 정통하다, 숙달하다",23,23
2299,version,"n. -판, -본",23,23
2300,versus,"prep. ~ 대(對), ~에 비해",23,23
2301,vertical,a. 수직의 / n. 수직선,24,24
2302,vessel,"n. 배, 선박",24,24
2303,veterinarian,n. 수의사,24,24
2304,via,"prep. ~을 경유하여[거쳐], ~을 통하여",24,24
2305,vice,"n. 악, 악덕, 대리(자) / a. 대리의 / prep. ~ 대신에",24,24
2306,victim,"n. 피해자, 희생자",24,24
2307,victory,"n. 승리, 정복",24,24
2308,view,n. 견해 / v. 여기다,24,24
2309,vigor,"n. 정력, 힘",24,24
2310,vigorous,"a. 활발한, 격렬한",24,24
2311,villa,"n. 휴가용 주택, 별장",24,24
2312,village,"n. 마을, 부락",24,24
2313,violent,"a. 폭력적인, 난폭한",24,24
2314,virgin,n. 미경험자 / a. 원래 [자연] 그대로의,24,24
2315,virtual,"a. 사실상의, 실질상의",24,24
2316,virtue,"n. 선, 선행",24,24
2317,virus,"n. 바이러스, 병원체",24,24
2318,visible,a. 보이는 / n. 눈에 보이는 것,24,24
2319,vision,n. 시력 / v. 환영으로 보다,24,24
2320,visual,a. 시각의 / n. 시각 자료,24,24
2321,vital,a. 필수적인 / n. 생명 유지 필수 기관,24,24
2322,vivid,"a. 뚜렷한, 생생한",24,24
2323,vocabulary,"n. 어휘, 용어",24,24
2324,vocation,"n. 천직, 소명",24,24
2325,volume,"n. 용량, 용적",24,24
2326,volunteer,n. 자원 봉사자 / v. 자원하다 / a. 자원의,24,24
2327,vote,"n. 표 / v. 투표하다, 선출하다",24,24
2328,wage,"n. 임금, 급료 / v. 벌이다, 다투다",24,24
2329,wander,"v. 거닐다, 돌아다니다 / n. 거닐기",24,24
2330,warehouse,n. 창고 / v. 창고에 보관하다,24,24
2331,warn,"v. 경고하다, 주의를 주다",24,24
2332,warrant,n. 영장 / v. 정당[타당]하게 만들다,24,24
2333,waste,"v. 낭비하다 낭비되다 / n. 낭비, 쓰레기 / a. 버려진",24,24
2334,wave,n. 파도 / v. 흔들다,24,24
2335,weak,"a. 약한, 힘이 없는",24,24
2336,wealth,"n. 재물, 재산",24,24
2337,weapon,"n. 무기, 병기",24,24
2338,weave,v. 직물을 짜다. 엮어지다 / n. 짜는[엮는] 법,24,24
2339,weed,n. 잡초 / v. 잡초를 뽑다,24,24
2340,weigh,v. 무게[체중]가 ~이다 / n. 무게 달기,24,24
2341,weird,a. 기이한 / n. 운명,24,24
2342,welfare,"n. 안녕, 행복",24,24
2343,whale,n. 고래,24,24
2344,wheat,"n. 밀, 소맥",24,24
2345,wheel,"n. 바퀴 / v. 밀다, 선회하다",24,24
2346,whereas,conj. ~에 반하여 / n. (공문서의) 전문,24,24
2347,whether,"conj. ~인지 (아닌지), ~이든 (아니든)",24,24
2348,which,a. 어느 / pron. 어느 것,24,24
2349,while,conj. ~하는 동안에 / n. 잠깐 / v. (시간을) 보내다,24,24
2350,whip,"n. 채찍 / v. 채찍질 [매질]하다, 갑자기 움직이다",24,24
2351,whisper,v. 속삭이다 / n. 속삭임,24,24
2352,whistle,n. 호루라기 / v. 휘파람으로 불다,24,24
2353,whole,a. 전체의 / n. 완전체,24,24
2354,wicked,a. 못된 / n. 악인,24,24
2355,wide,a. 넓은 / ad. 널리 / n. 표적을 벗어난 것,24,24
2356,wild,a. 야생의 / n. 자연 / ad. 난폭하게,24,24
2357,wing,"n. 날개 / v. 날다, 날아가다",24,24
2358,wipe,v. 닦다. 지우다 / n. 닦기,24,24
2359,wire,"n. 철사 / v. 전선을 연결하다, 전보를 치다",24,24
2360,wise,a. 지혜로운 / v. 알리다,24,24
2361,wit,"n. 기지, 재치",24,24
2362,withdraw,"v. 빼내다, 물러나다",24,24
2363,within,prep. ~이내에 / ad. 내부에서,24,24
2364,without,prep. ~없이 / ad. ~없이 / n. 밖 / conj. ~하지 않으면,24,24
2365,witness,"n. 목격자 / v. 목격하다, 증언하다",24,24
2366,wonder,"v. 궁금하다, 놀라다 / n. 경탄, 경이(로운 것)",24,24
2367,wool,n. 양털,24,24
2368,worship,"n. 예배, 숭배 / v. 예배하다",24,24
2369,worth,a. ~의 가치가 있는 / n. 어치[짜리],24,24
2370,would,(will의 과거형) ~일[할] 것이다,24,24
2371,wound,"n. 상처 / v. 상처 [부상]를 입히다, 상처를 입다",24,24
2372,wrap,"v. 싸다, 몸을 감싸다 / n. 숄, 포장지",24,24
2373,wreck,"n. 난파선 / v. 파괴시키다, 난파하다",24,24
2374,yell,v. 소리치다 / n. 고함,24,24
2375,yet,ad. 아직 / conj. 그렇지만,24,24
2376,yield,"v. (수익 등을) 내다, 굴복하다 / n. 산출",24,24
2377,zebra,n. 얼룩말,24,24
2378,zero,n. 0 / a. 0의,24,24
2379,zone,n. 지역,24,24
